Id,fid,ContPop,pob
HGDP00758,1710,EastAsia,
HGDP01317,1711,EastAsia,
HGDP01328,1712,EastAsia,
HGDP01340,1713,EastAsia,
HGDP01352,1714,EastAsia,
HGDP00951,1715,EastAsia,
HGDP00963,1716,EastAsia,
HGDP00752,1717,EastAsia,
HGDP00764,1718,EastAsia,
HGDP00790,1719,EastAsia,
HGDP00717,1720,EastAsia,
HGDP00547,1721,Oceania,
HGDP00655,1722,Oceania,
HGDP00789,1723,Oceania,
HGDP00514,1724,Europe,
HGDP00526,1725,Europe,
HGDP00538,1726,Europe,
HGDP01370,1727,Europe,
HGDP01063,1728,Europe,
HGDP01075,1729,Europe,
HGDP01156,1730,Europe,
HGDP01167,1731,Europe,
HGDP00803,1732,Europe,
HGDP01385,1733,Europe,
HGDP00023,1734,CentralSouthAsia,
HGDP01318,1735,EastAsia,
HGDP01329,1736,EastAsia,
HGDP01341,1737,EastAsia,
HGDP01353,1738,EastAsia,
HGDP00952,1739,EastAsia,
HGDP00964,1740,EastAsia,
HGDP00753,1741,EastAsia,
HGDP00765,1742,EastAsia,
HGDP00791,1743,EastAsia,
HGDP00718,1744,EastAsia,
HGDP00548,1745,Oceania,
HGDP00656,1746,Oceania,
HGDP00823,1747,Oceania,
HGDP00515,1748,Europe,
HGDP00527,1749,Europe,
HGDP00539,1750,Europe,
HGDP01388,1751,Europe,
HGDP00880,1752,Europe,
HGDP00892,1753,Europe,
HGDP01048,1754,America,
HGDP01060,1755,America,
HGDP00864,1756,America,
HGDP00876,1757,America,
HGDP00541,1758,Oceania,
HGDP00553,1759,Oceania,
HGDP00661,1760,Oceania,
HGDP00979,1761,Oceania,
HGDP00520,1762,Europe,
HGDP00532,1763,Europe,
HGDP01321,1764,EastAsia,
HGDP01332,1765,EastAsia,
HGDP01356,1766,EastAsia,
HGDP00955,1767,EastAsia,
HGDP00967,1768,EastAsia,
HGDP00756,1769,EastAsia,
HGDP01366,1770,Europe,
HGDP01377,1771,Europe,
HGDP00672,1772,Europe,
HGDP01071,1773,Europe,
HGDP01152,1774,Europe,
HGDP01162,1775,Europe,
HGDP00799,1776,Europe,
HGDP01381,1777,Europe,
HGDP00708,1778,America,
HGDP00998,1779,America,
HGDP01011,1780,America,
HGDP00833,1781,America,
HGDP00846,1782,America,
HGDP01010,1783,America,
HGDP00832,1784,America,
HGDP00845,1785,America,
HGDP01320,1786,EastAsia,
HGDP01331,1787,EastAsia,
HGDP01343,1788,EastAsia,
HGDP01355,1789,EastAsia,
HGDP00954,1790,EastAsia,
HGDP00966,1791,EastAsia,
HGDP00755,1792,EastAsia,
HGDP00767,1793,EastAsia,
HGDP00720,1794,EastAsia,
HGDP00550,1795,Oceania,
HGDP00658,1796,Oceania,
HGDP00825,1797,Oceania,
HGDP00517,1798,Europe,
HGDP00529,1799,Europe,
HGDP01358,1800,Europe,
HGDP00709,1801,America,
HGDP00999,1802,America,
HGDP01012,1803,America,
HGDP00834,1804,America,
HGDP00847,1805,America,
HGDP00666,1806,Europe,
HGDP01065,1807,Europe,
HGDP01077,1808,Europe,
HGDP00711,1809,EastAsia,
HGDP00540,1810,Oceania,
HGDP00552,1811,Oceania,
HGDP00978,1812,Oceania,
HGDP00519,1813,Europe,
HGDP00531,1814,Europe,
HGDP01360,1815,Europe,
HGDP01367,1816,Europe,
HGDP01378,1817,Europe,
HGDP00673,1818,Europe,
HGDP01072,1819,Europe,
HGDP01153,1820,Europe,
HGDP01163,1821,Europe,
HGDP00800,1822,Europe,
HGDP01382,1823,Europe,
HGDP00710,1824,America,
HGDP01000,1825,America,
HGDP01013,1826,America,
HGDP00835,1827,America,
HGDP00848,1828,America,
HGDP01171,1829,Europe,
HGDP01169,1830,Europe,
HGDP00805,1831,Europe,
HGDP01368,1832,Europe,
HGDP01379,1833,Europe,
HGDP00674,1834,Europe,
HGDP01073,1835,Europe,
HGDP01154,1836,Europe,
HGDP01164,1837,Europe,
HGDP00801,1838,Europe,
HGDP01383,1839,Europe,
HGDP01387,1840,Europe,
HGDP00879,1841,Europe,
HGDP00891,1842,Europe,
HGDP00903,1843,Europe,
HGDP01047,1844,America,
HGDP01059,1845,America,
HGDP00863,1846,America,
HGDP00875,1847,America,
HGDP00792,1848,America,
HGDP01001,1849,America,
HGDP01014,1850,America,
HGDP00837,1851,America,
HGDP00849,1852,America,
HGDP01232,1853,EastAsia,
HGDP01244,1854,EastAsia,
HGDP01300,1855,CentralSouthAsia,
HGDP01405,1856,Subsahara,
HGDP01419,1857,Subsahara,
HGDP01033,1858,Subsahara,
HGDP01260,1859,NorthAfrica,
HGDP01272,1860,NorthAfrica,
HGDP00608,1861,MiddleEast,
HGDP00620,1862,MiddleEast,
HGDP00632,1863,MiddleEast,
HGDP01369,1864,Europe,
HGDP01380,1865,Europe,
HGDP01062,1866,Europe,
HGDP01074,1867,Europe,
HGDP01155,1868,Europe,
HGDP01166,1869,Europe,
HGDP00802,1870,Europe,
HGDP01384,1871,Europe,
HGDP00793,1872,America,
HGDP01003,1873,America,
HGDP01015,1874,America,
HGDP00838,1875,America,
HGDP00850,1876,America,
HGDP00890,1877,Europe,
HGDP00902,1878,Europe,
HGDP01046,1879,America,
HGDP01371,1880,Europe,
HGDP00665,1881,Europe,
HGDP01064,1882,Europe,
HGDP01076,1883,Europe,
HGDP01157,1884,Europe,
HGDP01168,1885,Europe,
HGDP00804,1886,Europe,
HGDP01386,1887,Europe,
HGDP01396,1888,Europe,
HGDP00881,1889,Europe,
HGDP00893,1890,Europe,
HGDP01037,1891,America,
HGDP01049,1892,America,
HGDP01061,1893,America,
HGDP00865,1894,America,
HGDP00877,1895,America,
HGDP00827,1896,America,
HGDP01004,1897,America,
HGDP01016,1898,America,
HGDP00839,1899,America,
HGDP00851,1900,America,
HGDP01058,1901,America,
HGDP00862,1902,America,
HGDP00874,1903,America,
HGDP01417,1904,Subsahara,
HGDP01030,1905,Subsahara,
